league,year,injury_type,injury_category,games_missed
NFL,2009.0,hamstring,Lower Body,0.0
NFL,2009.0,illness,Illness,0.0
NFL,2009.0,hamstring ankle,Lower Body,1.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,knee,Lower Body,1.0
NFL,2009.0,wrist,Upper Body,16.0
NFL,2009.0,ankle knee,Lower Body,0.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,knee,Lower Body,5.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,ribs,Upper Body,3.0
NFL,2009.0,knee elbow,Lower Body,0.0
NFL,2009.0,pelvis hernia,Lower Body,4.0
NFL,2009.0,groin,Lower Body,0.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,back,Upper Body,2.0
NFL,2009.0,hamstring thigh,Lower Body,0.0
NFL,2009.0,thumb,Upper Body,0.0
NFL,2009.0,ankle knee thumb shoulder head,Head,5.0
NFL,2009.0,back,Upper Body,1.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,thigh neck,Lower Body,1.0
NFL,2009.0,groin ankle knee hamstring,Lower Body,0.0
NFL,2009.0,ribs illness head concussion head,Illness,3.0
NFL,2009.0,shoulder back,Upper Body,3.0
NFL,2009.0,served knee head,Head,3.0
NFL,2009.0,hamstring groin,Lower Body,2.0
NFL,2009.0,finger ankle toe,Lower Body,0.0
NFL,2009.0,quadriceps foot thigh,Lower Body,1.0
NFL,2009.0,ankle knee,Lower Body,7.0
NFL,2009.0,back,Upper Body,3.0
NFL,2009.0,foot,Lower Body,14.0
NFL,2009.0,elbow,Upper Body,0.0
NFL,2009.0,shoulder knee,Lower Body,5.0
NFL,2009.0,shoulder head,Head,1.0
NFL,2009.0,hip groin,Lower Body,0.0
NFL,2009.0,thumb,Upper Body,0.0
NFL,2009.0,groin,Lower Body,0.0
NFL,2009.0,back thumb illness,Illness,0.0
NFL,2009.0,knee foot,Lower Body,0.0
NFL,2009.0,chest,Upper Body,3.0
NFL,2009.0,ankle shoulder,Lower Body,0.0
NFL,2009.0,ankle elbow elbow hamstring,Lower Body,2.0
NFL,2009.0,neck,Upper Body,0.0
NFL,2009.0,abdomen,Upper Body,0.0
NFL,2009.0,hamstring,Lower Body,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,ankle ankle achilles,Lower Body,5.0
NFL,2009.0,foot,Lower Body,0.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,hamstring,Lower Body,0.0
NFL,2009.0,ankle knee,Lower Body,6.0
NFL,2009.0,hamstring knee,Lower Body,4.0
NFL,2009.0,back calf,Lower Body,0.0
NFL,2009.0,knee,Lower Body,6.0
